EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
181,57,Female,Technical,Married,Analyst,Data Analyst,Frequently,18,College,1,75,3,3,2,1,No,20,3,8,4,5,8,8,3,2,Yes,3
182,29,Female,Marketing,Divorced,Marketer,Marketer,Frequently,21,Bachelor,4,54,3,3,3,6,Yes,23,4,1,5,2,1,1,1,3,Yes,2
183,50,Female,HR,Married,Engineer,Developer,Rarely,19,Bachelor,4,76,3,2,1,1,No,19,3,7,2,2,7,7,0,2,No,4
184,27,Male,Finance,Divorced,Marketer,Marketing Manager,Rarely,2,Doctor,5,52,2,5,4,2,No,12,5,6,0,4,6,6,10,7,Yes,2
185,37,Female,HR,Single,Manager,Manager,Frequently,16,High School,3,29,2,5,3,8,No,10,3,18,3,2,18,18,2,9,Yes,4
186,37,Female,Marketing,Divorced,Sales Rep,Sales Rep,Frequently,10,Bachelor,5,44,4,4,4,1,No,17,5,1,0,3,1,1,2,1,Yes,3
187,26,Male,Finance,Married,Marketer,Marketing Manager,Frequently,20,Master,4,79,1,5,4,7,No,22,2,2,1,3,2,2,1,5,Yes,4
188,40,Male,Marketing,Divorced,Sales Rep,Sales Manager,Rarely,14,Master,4,59,1,3,3,4,No,20,1,3,3,4,3,3,5,3,No,3
189,47,Female,Marketing,Divorced,Marketer,Marketer,Occasionally,15,Doctor,1,40,3,2,5,2,No,16,4,5,0,4,5,5,0,6,No,4
190,23,Female,Marketing,Divorced,Analyst,Analyst,Frequently,12,College,2,60,2,1,5,0,Yes,15,3,8,3,4,8,8,3,8,Yes,5
191,29,Male,Technical,Single,Sales Rep,Sales Manager,Frequently,3,High School,4,52,4,4,5,5,Yes,16,3,4,3,1,4,4,4,8,Yes,2
192,60,Female,HR,Single,Marketer,Marketing Manager,Frequently,11,Master,3,72,1,4,3,2,No,16,5,4,4,2,4,4,5,2,Yes,3
193,27,Male,Technical,Married,Engineer,Engineer,Occasionally,13,Master,1,44,2,4,1,0,Yes,22,1,3,0,3,3,3,3,2,Yes,3
194,59,Male,Marketing,Single,Marketer,Marketing Manager,Occasionally,19,Bachelor,3,44,4,4,4,4,No,14,5,6,5,2,6,6,1,8,Yes,2
195,59,Male,Marketing,Single,Sales Rep,Sales Rep,Rarely,28,Bachelor,1,61,2,4,2,2,No,10,1,1,2,1,1,1,2,7,No,2
196,48,Male,Other,Married,Analyst,Data Analyst,Occasionally,19,College,5,76,2,5,3,2,No,24,1,6,2,2,6,6,9,9,Yes,4
197,52,Male,Marketing,Divorced,Engineer,Engineer,Occasionally,6,Bachelor,5,25,3,2,5,2,No,10,3,4,5,4,4,4,8,2,No,4
198,37,Male,HR,Single,Manager,Team Leader,Occasionally,26,College,4,60,1,5,1,3,No,11,1,11,1,3,11,11,4,1,No,5
199,49,Female,Technical,Divorced,Analyst,Data Analyst,Frequently,7,Bachelor,1,56,3,2,4,7,Yes,24,5,5,4,4,5,5,9,9,No,4
200,35,Male,HR,Single,Sales Rep,Sales Rep,Occasionally,6,Doctor,4,38,2,5,3,6,No,11,5,5,1,5,5,5,9,7,No,2
201,48,Male,Marketing,Single,Engineer,Developer,Occasionally,26,Doctor,4,75,2,1,3,3,No,20,2,9,4,3,9,9,6,4,Yes,3
202,22,Male,Marketing,Married,Engineer,Developer,Rarely,3,College,5,35,1,2,3,2,No,18,1,9,0,1,9,9,9,1,Yes,3
203,31,Male,HR,Divorced,Marketer,Marketer,Rarely,27,Doctor,5,73,1,4,4,6,No,15,2,7,0,4,7,7,10,6,Yes,3
204,25,Male,HR,Single,Analyst,Analyst,Occasionally,9,Bachelor,1,77,1,3,4,5,No,18,5,8,4,1,8,8,4,7,Yes,3
205,58,Female,Other,Married,Marketer,Marketing Manager,Occasionally,10,Master,3,34,4,2,5,7,No,14,3,6,4,3,6,6,0,4,Yes,2
206,50,Female,Technical,Divorced,Marketer,Marketing Manager,Rarely,13,Bachelor,5,79,4,1,5,3,No,24,1,7,0,3,7,7,5,3,No,4
207,22,Male,Other,Married,Engineer,Developer,Occasionally,4,College,5,34,4,4,5,8,Yes,22,4,7,4,2,7,7,3,5,No,3
208,37,Male,Technical,Married,Engineer,Developer,Rarely,26,Doctor,1,68,1,1,4,2,Yes,24,1,8,2,5,8,8,7,3,No,4
209,57,Female,Other,Single,Manager,Team Leader,Rarely,1,Bachelor,4,45,3,5,2,6,No,13,2,20,2,5,20,20,7,4,No,5
210,41,Male,Finance,Single,Marketer,Marketer,Rarely,8,Bachelor,3,74,2,2,4,7,Yes,10,4,4,3,5,4,4,3,9,No,2
211,52,Male,Other,Single,Manager,Manager,Rarely,23,Bachelor,5,39,1,4,5,4,Yes,12,4,7,2,1,7,7,3,2,No,5
212,30,Female,Technical,Divorced,Analyst,Data Analyst,Frequently,11,Bachelor,2,40,1,3,1,3,No,11,5,3,0,4,3,3,1,1,Yes,3
213,24,Male,Technical,Divorced,Engineer,Developer,Occasionally,20,Master,5,59,4,4,1,6,Yes,15,1,4,5,2,4,4,10,8,No,3
214,53,Male,Technical,Divorced,Manager,Manager,Occasionally,2,Bachelor,5,58,2,4,3,2,Yes,17,3,19,4,3,19,19,9,5,Yes,4
215,40,Female,Finance,Single,Manager,Team Leader,Frequently,5,Doctor,3,44,4,5,3,7,Yes,25,2,10,5,4,10,10,10,2,Yes,5
216,46,Male,HR,Single,Manager,Manager,Rarely,17,High School,2,27,1,4,2,0,Yes,14,1,9,3,1,9,9,1,6,Yes,4
217,29,Female,Marketing,Single,Engineer,Developer,Frequently,22,College,5,52,2,5,3,2,No,12,4,7,2,3,7,7,7,1,Yes,3
218,25,Female,Technical,Married,Sales Rep,Sales Rep,Frequently,27,College,4,50,4,4,5,5,No,14,3,3,4,3,3,3,10,7,Yes,2
219,53,Female,Other,Divorced,Manager,Manager,Rarely,1,Master,1,79,2,4,2,3,No,25,1,14,2,4,14,14,7,2,Yes,4
220,38,Male,Finance,Single,Sales Rep,Sales Rep,Occasionally,27,Bachelor,5,79,4,3,3,7,No,10,3,2,3,4,2,2,2,10,Yes,2
221,38,Female,Technical,Single,Engineer,Developer,Occasionally,2,Bachelor,4,22,2,5,2,8,Yes,10,3,10,1,4,10,10,6,6,No,3
222,57,Male,Finance,Married,Manager,Team Leader,Occasionally,26,Doctor,4,30,4,4,3,1,Yes,15,5,12,4,1,12,12,5,4,Yes,4
223,51,Female,Marketing,Married,Engineer,Engineer,Rarely,13,Bachelor,4,35,2,3,2,7,No,12,2,4,5,5,4,4,4,1,Yes,4
224,54,Male,Technical,Married,Analyst,Data Analyst,Rarely,26,College,5,69,1,5,1,1,No,15,1,5,5,5,5,5,4,8,Yes,5
225,36,Male,Other,Single,Sales Rep,Sales Rep,Occasionally,3,Bachelor,2,54,3,4,4,8,No,13,3,2,3,4,2,2,10,1,Yes,3
226,37,Male,Finance,Divorced,Manager,Team Leader,Frequently,4,Bachelor,4,31,1,4,5,6,Yes,11,5,8,5,5,8,8,2,2,No,5
227,52,Female,Finance,Single,Manager,Manager,Frequently,6,Bachelor,3,43,2,4,1,4,No,12,3,6,5,3,6,6,7,6,Yes,5
228,41,Female,HR,Single,Analyst,Data Analyst,Rarely,8,High School,1,64,4,5,4,1,Yes,21,2,2,3,2,2,2,10,5,Yes,4
229,60,Female,Other,Divorced,Analyst,Data Analyst,Rarely,10,College,5,64,3,1,5,8,Yes,25,4,7,5,2,7,7,5,3,Yes,4
230,32,Male,HR,Divorced,Sales Rep,Sales Manager,Rarely,3,Master,3,64,4,5,4,8,No,14,5,4,0,2,4,4,7,10,Yes,3
231,56,Male,HR,Married,Analyst,Data Analyst,Rarely,9,Master,4,55,3,3,3,8,No,15,1,5,2,2,5,5,8,4,Yes,4
232,41,Female,HR,Married,Marketer,Marketing Manager,Occasionally,30,College,5,67,4,1,2,2,No,21,2,6,5,5,6,6,3,1,Yes,4
233,31,Male,Finance,Married,Analyst,Analyst,Rarely,23,Doctor,3,22,1,4,2,8,Yes,19,2,6,3,3,6,6,7,10,No,4
234,53,Female,Finance,Married,Analyst,Analyst,Rarely,21,Master,4,36,1,1,3,4,No,20,5,2,3,2,2,2,10,2,Yes,3
235,27,Female,Other,Single,Engineer,Developer,Rarely,10,College,5,32,2,3,1,4,No,24,2,4,1,4,4,4,9,1,No,3
236,40,Female,HR,Divorced,Analyst,Analyst,Occasionally,28,Master,4,53,1,5,3,1,No,25,3,8,2,4,8,8,3,6,Yes,5
237,43,Male,Other,Single,Sales Rep,Sales Rep,Frequently,29,High School,3,54,3,2,2,3,No,13,5,3,4,5,3,3,1,6,Yes,2
238,43,Female,HR,Single,Marketer,Marketing Manager,Occasionally,5,Bachelor,5,47,3,2,4,4,Yes,21,3,3,5,5,3,3,5,5,Yes,2
239,60,Female,Finance,Single,Engineer,Developer,Frequently,13,Master,5,60,4,3,3,1,Yes,21,3,8,5,5,8,8,6,5,No,3
240,24,Female,Other,Married,Sales Rep,Sales Rep,Rarely,28,Master,4,76,3,1,5,8,Yes,18,4,2,3,1,2,2,0,3,No,2
241,25,Male,HR,Divorced,Manager,Team Leader,Occasionally,2,College,3,70,1,2,5,8,No,18,4,17,3,3,17,17,2,10,Yes,4
242,34,Female,Technical,Divorced,Marketer,Marketing Manager,Frequently,28,College,5,42,4,1,3,6,Yes,17,2,1,5,4,1,1,10,6,Yes,2
243,40,Male,HR,Divorced,Manager,Team Leader,Frequently,10,Doctor,3,21,2,4,2,7,Yes,19,4,12,3,4,12,12,0,2,No,4
244,46,Female,Marketing,Married,Engineer,Engineer,Occasionally,17,Master,1,66,2,5,2,0,Yes,23,4,10,2,2,10,10,10,7,No,4
245,34,Male,Marketing,Single,Analyst,Analyst,Frequently,7,Master,5,27,4,4,4,5,Yes,11,5,6,4,3,6,6,7,5,No,4
246,60,Female,Marketing,Divorced,Analyst,Data Analyst,Rarely,23,High School,5,47,2,2,5,6,Yes,14,4,4,0,4,4,4,4,7,Yes,5
247,42,Female,Marketing,Married,Sales Rep,Sales Manager,Occasionally,22,College,4,29,3,5,1,4,No,14,5,5,2,4,5,5,5,6,Yes,3
248,44,Male,HR,Married,Sales Rep,Sales Rep,Rarely,29,Master,5,38,1,2,4,3,No,21,2,1,2,1,1,1,8,3,No,2
249,46,Male,HR,Single,Sales Rep,Sales Manager,Occasionally,18,Doctor,4,46,3,1,1,8,No,18,1,5,0,5,5,5,2,5,Yes,2
250,34,Male,Technical,Married,Marketer,Marketer,Occasionally,22,College,1,76,1,4,1,5,No,20,1,1,0,2,1,1,4,6,Yes,4
251,22,Male,HR,Married,Analyst,Data Analyst,Rarely,4,Bachelor,2,35,3,1,2,4,Yes,24,5,4,5,2,4,4,10,4,No,3
252,41,Male,Technical,Single,Analyst,Data Analyst,Occasionally,10,Bachelor,5,27,3,2,5,2,Yes,10,4,3,5,1,3,3,1,4,No,4
253,32,Female,Marketing,Married,Marketer,Marketer,Frequently,5,Bachelor,5,77,3,1,2,8,No,15,5,2,2,1,2,2,8,5,No,3
254,41,Female,Technical,Single,Sales Rep,Sales Rep,Occasionally,14,Doctor,2,47,2,3,5,7,No,21,4,2,4,3,2,2,5,8,No,3
255,29,Female,Finance,Married,Engineer,Engineer,Rarely,25,Bachelor,5,36,3,2,3,2,Yes,19,5,8,1,5,8,8,8,4,No,4
256,45,Female,Finance,Single,Marketer,Marketing Manager,Rarely,15,Master,1,77,4,5,3,6,Yes,15,4,1,0,1,1,1,4,2,Yes,4
257,43,Male,HR,Divorced,Sales Rep,Sales Manager,Occasionally,20,Bachelor,4,76,2,2,1,6,No,19,5,1,5,2,1,1,4,7,No,2
258,59,Female,Finance,Single,Manager,Team Leader,Occasionally,13,College,1,27,1,3,3,4,No,18,2,14,4,1,14,14,5,7,Yes,4
259,52,Female,Marketing,Single,Analyst,Analyst,Frequently,11,College,3,61,2,3,2,6,Yes,13,4,3,0,2,3,3,3,1,No,5
260,33,Male,Marketing,Married,Engineer,Developer,Frequently,12,Doctor,5,44,4,5,2,2,No,22,3,5,3,2,5,5,6,4,Yes,4
261,46,Male,Technical,Single,Manager,Manager,Occasionally,8,College,4,38,1,4,4,6,Yes,10,2,9,4,1,9,9,3,3,No,5
262,26,Female,Technical,Married,Marketer,Marketer,Occasionally,27,College,1,26,4,3,2,0,Yes,16,1,3,5,1,3,3,8,10,Yes,3
263,31,Female,Finance,Single,Analyst,Analyst,Frequently,5,Doctor,4,45,4,5,2,1,No,21,5,4,3,1,4,4,9,4,No,3
264,53,Male,HR,Divorced,Manager,Team Leader,Occasionally,5,Doctor,2,43,4,3,5,5,No,17,1,8,2,5,8,8,1,6,Yes,4
265,29,Male,Marketing,Single,Marketer,Marketing Manager,Occasionally,2,Bachelor,2,26,2,4,5,4,Yes,20,4,6,5,2,6,6,0,8,Yes,4
266,45,Female,Technical,Single,Sales Rep,Sales Manager,Occasionally,14,Bachelor,3,57,4,4,1,5,Yes,17,2,1,5,1,1,1,2,6,Yes,3
267,52,Male,Marketing,Married,Sales Rep,Sales Manager,Occasionally,29,Doctor,4,71,4,4,1,2,No,19,1,5,4,1,5,5,4,10,No,2
268,55,Male,Technical,Single,Analyst,Data Analyst,Occasionally,26,Master,1,58,4,5,1,6,Yes,18,5,3,0,3,3,3,9,3,Yes,5
269,37,Male,Marketing,Single,Manager,Team Leader,Rarely,20,High School,5,58,1,3,4,5,No,13,1,14,1,3,14,14,6,9,Yes,4
270,31,Female,HR,Married,Engineer,Engineer,Occasionally,28,Doctor,3,77,4,3,5,8,No,25,1,2,5,3,2,2,1,6,Yes,3
271,60,Male,HR,Divorced,Manager,Team Leader,Frequently,19,College,4,57,4,5,1,8,Yes,21,2,18,5,3,18,18,2,1,No,5
272,23,Male,HR,Single,Sales Rep,Sales Rep,Occasionally,19,High School,1,46,3,5,2,7,No,10,4,1,1,2,1,1,7,2,No,2
273,55,Male,Finance,Married,Sales Rep,Sales Manager,Frequently,30,High School,3,58,1,3,3,6,Yes,19,4,3,4,4,3,3,0,8,No,2
274,29,Female,HR,Single,Sales Rep,Sales Manager,Frequently,17,Master,3,73,3,4,3,2,Yes,16,2,1,0,4,1,1,5,4,Yes,2
275,41,Female,Marketing,Married,Engineer,Engineer,Frequently,7,Master,1,21,3,4,4,4,Yes,12,5,6,3,4,6,6,5,2,Yes,4
276,49,Male,Finance,Divorced,Manager,Manager,Rarely,3,Bachelor,5,52,1,3,4,4,No,19,2,5,5,3,5,5,5,1,No,5
277,50,Male,HR,Single,Sales Rep,Sales Manager,Occasionally,12,Master,1,53,4,4,5,8,Yes,11,3,2,3,5,2,2,7,4,No,3
278,24,Female,Finance,Married,Analyst,Data Analyst,Rarely,17,High School,1,79,2,1,4,4,No,16,2,8,2,5,8,8,4,9,No,5
279,40,Male,HR,Single,Manager,Team Leader,Occasionally,2,Bachelor,3,53,3,2,1,6,Yes,15,3,11,1,2,11,11,1,9,Yes,5
280,57,Male,Technical,Divorced,Sales Rep,Sales Rep,Occasionally,20,Master,3,56,3,3,1,7,No,10,4,3,5,5,3,3,6,10,Yes,3
281,60,Male,HR,Married,Analyst,Analyst,Occasionally,23,Master,2,74,2,3,3,1,No,11,4,8,5,4,8,8,2,1,No,3
282,46,Male,Finance,Married,Marketer,Marketing Manager,Frequently,25,High School,1,45,3,3,4,7,Yes,21,3,4,5,4,4,4,0,9,No,2
283,32,Male,Technical,Divorced,Engineer,Developer,Rarely,8,Master,2,42,2,5,4,5,No,17,3,5,0,2,5,5,4,2,No,4
284,28,Female,Technical,Married,Analyst,Data Analyst,Rarely,29,Master,2,37,3,3,2,1,Yes,11,3,6,4,1,6,6,4,4,No,3
285,22,Female,Marketing,Single,Marketer,Marketer,Occasionally,28,Doctor,5,59,1,3,1,3,Yes,20,4,4,1,3,4,4,10,5,Yes,2
286,40,Male,HR,Married,Marketer,Marketing Manager,Frequently,13,Bachelor,4,44,1,3,1,8,Yes,21,1,5,0,2,5,5,1,6,Yes,4
287,56,Female,Finance,Single,Analyst,Data Analyst,Rarely,13,Doctor,5,50,4,1,5,8,Yes,22,3,8,4,2,8,8,1,8,Yes,3
288,54,Male,HR,Single,Sales Rep,Sales Rep,Frequently,23,College,1,23,2,4,1,3,No,10,1,2,4,3,2,2,0,3,Yes,3
289,47,Male,Finance,Single,Marketer,Marketer,Frequently,1,Doctor,1,23,2,3,1,8,No,17,3,4,2,5,4,4,7,6,Yes,3
290,54,Male,Marketing,Divorced,Marketer,Marketer,Frequently,8,Doctor,1,30,2,5,2,7,No,23,5,3,4,1,3,3,9,4,No,3
291,37,Male,Marketing,Married,Analyst,Data Analyst,Frequently,20,College,1,33,3,4,5,5,Yes,13,1,8,0,3,8,8,7,3,Yes,5
292,52,Female,Marketing,Single,Marketer,Marketing Manager,Frequently,6,Bachelor,5,33,1,5,4,2,Yes,10,4,7,4,3,7,7,10,3,No,2
293,50,Female,HR,Single,Manager,Manager,Rarely,7,Doctor,4,79,4,5,1,5,No,21,2,19,3,1,19,19,5,1,Yes,5
294,38,Male,HR,Married,Marketer,Marketer,Frequently,28,Master,2,54,1,1,3,8,No,24,4,1,4,5,1,1,1,10,No,2
295,50,Female,Marketing,Single,Sales Rep,Sales Rep,Rarely,18,Master,4,43,2,3,1,6,No,13,4,2,2,3,2,2,5,7,Yes,3
296,44,Male,Other,Single,Manager,Team Leader,Frequently,24,Master,4,28,3,1,3,0,Yes,20,3,20,2,4,20,20,8,3,No,5
297,27,Female,Other,Divorced,Analyst,Data Analyst,Rarely,2,Doctor,5,75,3,3,3,5,No,16,3,7,4,4,7,7,9,7,No,4
298,52,Female,Other,Single,Engineer,Engineer,Occasionally,11,High School,2,69,4,4,3,1,Yes,16,2,7,3,5,7,7,5,10,No,3
299,50,Male,HR,Married,Marketer,Marketer,Frequently,14,College,5,21,2,2,1,0,No,25,5,1,3,3,1,1,2,4,No,3
300,30,Male,Finance,Married,Analyst,Analyst,Occasionally,27,Doctor,4,58,4,1,2,4,Yes,10,3,8,1,5,8,8,2,1,No,5
301,31,Male,Marketing,Single,Analyst,Data Analyst,Rarely,21,College,5,32,2,4,3,6,No,22,2,4,3,1,4,4,5,8,Yes,4
302,36,Male,Other,Married,Analyst,Analyst,Rarely,2,Master,3,54,2,1,3,1,Yes,17,5,5,3,1,5,5,10,4,No,3
303,43,Male,Technical,Married,Analyst,Data Analyst,Rarely,6,Bachelor,4,46,2,2,5,0,No,20,3,3,1,5,3,3,2,2,Yes,4
304,50,Female,Finance,Single,Marketer,Marketing Manager,Occasionally,13,Doctor,1,77,4,3,5,5,No,25,4,5,5,5,5,5,10,9,Yes,3
305,22,Male,Technical,Married,Manager,Manager,Frequently,29,College,3,48,4,1,3,1,Yes,18,1,14,3,5,14,14,2,7,Yes,4
306,33,Male,Marketing,Married,Marketer,Marketing Manager,Rarely,6,Master,1,49,1,1,2,2,No,13,3,2,2,5,2,2,6,8,No,3
307,38,Male,HR,Divorced,Sales Rep,Sales Rep,Frequently,28,Master,4,72,2,1,4,5,No,19,4,4,0,5,4,4,5,8,Yes,3
308,43,Male,Other,Divorced,Analyst,Analyst,Occasionally,22,Master,3,23,4,5,5,3,Yes,17,3,3,3,2,3,3,3,10,Yes,3
309,46,Female,Other,Married,Manager,Manager,Frequently,19,Bachelor,1,36,4,1,1,3,No,11,2,5,5,3,5,5,4,8,Yes,5
310,46,Male,Finance,Single,Manager,Team Leader,Occasionally,5,Master,3,51,3,3,1,3,Yes,11,5,17,0,5,17,17,2,2,No,4
311,46,Male,Marketing,Divorced,Sales Rep,Sales Manager,Rarely,8,Bachelor,3,61,3,1,3,3,Yes,11,3,3,4,1,3,3,0,9,Yes,2
312,57,Male,Other,Single,Engineer,Engineer,Rarely,3,College,3,65,2,3,3,4,Yes,14,3,6,3,5,6,6,10,7,Yes,4
313,48,Male,Other,Divorced,Engineer,Engineer,Rarely,10,Doctor,2,34,1,3,3,5,No,25,5,4,4,2,4,4,10,4,Yes,3
314,38,Male,Technical,Single,Manager,Team Leader,Frequently,7,Master,4,70,1,1,5,4,Yes,19,1,10,0,3,10,10,0,4,No,5
315,55,Male,HR,Single,Sales Rep,Sales Rep,Occasionally,4,Master,1,53,4,4,5,7,Yes,10,5,4,5,3,4,4,5,9,Yes,3
316,30,Male,Technical,Married,Sales Rep,Sales Rep,Rarely,9,Doctor,3,60,2,2,2,2,No,22,4,4,2,3,4,4,2,6,No,3
317,40,Female,Marketing,Single,Engineer,Developer,Frequently,18,College,2,74,4,5,1,2,No,11,1,3,5,1,3,3,1,10,No,3
318,36,Female,Technical,Single,Sales Rep,Sales Manager,Occasionally,16,College,2,62,2,3,1,0,Yes,24,5,5,3,2,5,5,10,1,No,2
319,38,Female,Other,Married,Analyst,Analyst,Occasionally,28,High School,3,48,2,5,1,8,Yes,24,4,3,5,4,3,3,7,6,No,4
320,51,Male,Marketing,Married,Sales Rep,Sales Manager,Rarely,21,High School,2,68,3,2,1,2,Yes,18,5,5,0,3,5,5,10,1,No,2
321,43,Male,Finance,Married,Marketer,Marketing Manager,Occasionally,15,Bachelor,1,23,1,5,1,6,Yes,12,5,2,1,2,2,2,2,8,No,2
322,49,Male,Finance,Married,Marketer,Marketing Manager,Frequently,30,High School,4,80,1,2,4,5,No,17,3,5,2,5,5,5,2,10,Yes,4
323,29,Female,Other,Married,Analyst,Data Analyst,Rarely,13,College,3,21,2,3,5,4,Yes,14,5,7,3,5,7,7,5,9,Yes,4
324,40,Male,Other,Divorced,Analyst,Data Analyst,Rarely,18,College,3,71,4,5,4,7,No,15,2,3,1,3,3,3,1,7,No,4
325,23,Male,HR,Married,Manager,Team Leader,Frequently,23,Bachelor,3,25,2,5,1,6,Yes,14,2,20,1,3,20,20,6,9,Yes,4
326,60,Male,Other,Single,Engineer,Developer,Occasionally,12,Master,5,66,2,3,3,5,No,23,4,9,5,5,9,9,5,1,Yes,3
327,41,Female,HR,Divorced,Manager,Manager,Occasionally,25,High School,5,29,1,3,3,1,Yes,21,1,18,1,5,18,18,2,7,Yes,5
328,40,Female,Marketing,Married,Analyst,Analyst,Occasionally,24,Master,1,36,2,5,4,6,No,16,2,4,3,4,4,4,0,9,Yes,3
329,57,Female,HR,Divorced,Marketer,Marketer,Occasionally,28,College,4,39,4,5,5,5,No,25,2,5,2,3,5,5,9,10,Yes,3
330,47,Male,Other,Married,Marketer,Marketer,Frequently,6,Bachelor,5,34,2,2,3,8,Yes,21,3,3,2,2,3,3,8,2,No,4
331,57,Male,Technical,Divorced,Engineer,Engineer,Occasionally,19,High School,4,52,4,5,4,6,Yes,18,2,6,4,3,6,6,9,1,Yes,4
332,39,Male,Marketing,Married,Engineer,Developer,Occasionally,8,Doctor,2,69,4,3,4,4,No,10,1,3,0,5,3,3,2,2,Yes,3
333,26,Male,Technical,Single,Sales Rep,Sales Manager,Frequently,27,Bachelor,1,64,3,1,2,2,No,20,2,3,0,5,3,3,9,7,Yes,2
334,48,Male,Technical,Single,Analyst,Analyst,Rarely,26,Doctor,1,65,4,5,2,6,Yes,10,1,8,4,4,8,8,5,8,No,3
335,47,Female,Finance,Single,Manager,Manager,Rarely,9,High School,4,47,1,5,3,8,Yes,18,5,9,3,5,9,9,7,1,No,4
336,39,Male,Marketing,Divorced,Manager,Team Leader,Frequently,18,High School,2,37,3,1,2,7,No,14,4,12,4,5,12,12,10,9,Yes,4
337,28,Male,Marketing,Married,Sales Rep,Sales Rep,Frequently,29,Doctor,3,53,4,2,2,1,Yes,21,2,4,1,4,4,4,1,6,Yes,3
338,59,Male,Finance,Divorced,Analyst,Data Analyst,Frequently,14,High School,2,55,4,2,3,2,Yes,12,3,2,5,5,2,2,0,3,Yes,5
339,30,Female,Technical,Divorced,Marketer,Marketer,Frequently,22,Master,2,53,2,3,4,5,Yes,16,5,3,0,1,3,3,10,6,No,4
340,59,Male,Marketing,Single,Engineer,Developer,Frequently,12,High School,4,46,3,1,2,8,Yes,22,2,5,0,5,5,5,1,2,No,3
341,47,Male,Marketing,Divorced,Sales Rep,Sales Rep,Occasionally,10,Bachelor,3,37,3,2,1,3,No,16,2,5,5,4,5,5,4,4,No,2
342,59,Female,Other,Divorced,Sales Rep,Sales Rep,Occasionally,23,High School,3,47,3,2,2,5,Yes,10,1,1,4,5,1,1,0,10,No,3
343,35,Male,HR,Married,Manager,Team Leader,Frequently,3,Master,4,32,3,5,1,6,Yes,12,4,17,1,4,17,17,4,9,No,5
344,51,Female,Marketing,Single,Manager,Team Leader,Occasionally,27,High School,2,33,2,5,1,4,No,16,2,5,4,3,5,5,3,1,No,5
345,42,Male,Finance,Single,Marketer,Marketer,Occasionally,27,High School,1,40,2,5,2,1,No,11,2,6,0,5,6,6,8,3,No,4
346,60,Male,Other,Single,Engineer,Developer,Frequently,14,Doctor,1,78,3,5,2,7,No,13,3,3,4,3,3,3,1,5,Yes,3
347,32,Female,HR,Married,Marketer,Marketing Manager,Occasionally,27,College,5,41,2,4,1,3,No,19,5,4,4,5,4,4,6,8,Yes,3
348,46,Female,Marketing,Single,Manager,Team Leader,Rarely,28,College,3,22,2,1,1,0,No,18,3,8,0,3,8,8,6,6,No,5
349,45,Female,Technical,Divorced,Manager,Team Leader,Frequently,27,Bachelor,2,37,1,5,4,3,Yes,13,4,19,0,4,19,19,0,7,No,5
350,58,Male,Finance,Single,Engineer,Engineer,Frequently,17,High School,1,69,2,2,1,2,Yes,18,1,10,5,5,10,10,7,7,Yes,4
351,52,Female,Marketing,Divorced,Marketer,Marketer,Frequently,18,College,3,60,2,1,3,8,Yes,24,4,7,2,1,7,7,9,10,Yes,4
352,33,Female,HR,Divorced,Analyst,Data Analyst,Occasionally,7,Bachelor,5,77,3,1,5,5,Yes,16,2,7,5,4,7,7,4,5,Yes,5
353,35,Male,Marketing,Married,Marketer,Marketer,Rarely,6,Bachelor,5,61,3,1,4,2,Yes,14,2,5,4,2,5,5,8,10,No,4
354,23,Male,Other,Single,Marketer,Marketing Manager,Occasionally,6,Doctor,1,41,3,2,1,1,No,25,2,3,0,5,3,3,10,4,No,2
355,32,Female,Marketing,Single,Engineer,Developer,Frequently,18,Master,5,52,4,2,2,1,No,20,4,7,5,1,7,7,8,1,No,4
356,53,Female,HR,Divorced,Analyst,Analyst,Frequently,18,Doctor,3,61,4,1,5,3,Yes,15,2,6,4,1,6,6,2,8,Yes,3
357,28,Male,Other,Married,Analyst,Analyst,Occasionally,30,College,1,21,4,2,4,6,Yes,17,2,4,2,2,4,4,0,5,No,5
358,51,Female,HR,Married,Analyst,Data Analyst,Occasionally,11,High School,1,30,4,3,4,2,No,21,1,6,4,3,6,6,5,9,No,3
359,43,Female,HR,Single,Engineer,Developer,Occasionally,28,Master,4,71,2,5,5,7,Yes,16,4,2,2,2,2,2,0,10,Yes,3
360,51,Male,Finance,Married,Marketer,Marketer,Occasionally,17,Bachelor,5,61,3,1,2,7,Yes,11,2,3,2,2,3,3,2,1,Yes,2
361,42,Female,HR,Single,Analyst,Analyst,Occasionally,7,Master,3,47,2,5,1,8,No,16,3,4,3,1,4,4,5,7,Yes,5
362,52,Female,Other,Single,Marketer,Marketer,Rarely,1,Master,1,73,3,5,5,2,Yes,17,3,2,1,5,2,2,6,5,Yes,3
363,55,Male,Other,Single,Manager,Team Leader,Rarely,30,Master,4,63,3,1,2,7,Yes,15,3,13,2,4,13,13,0,5,No,5
